,blk,date,pow_hashrate_THs,pow_diff
80,11664.0,2016-03-18 00:00:00+00:00,0.0,289271.40113515
81,11808.0,2016-03-18 00:00:00+00:00,0.0,321837.9095981
82,11952.0,2016-03-19 00:00:00+00:00,0.0,334563.62765435
83,12096.0,2016-03-19 00:00:00+00:00,0.0,331073.52653825
84,12240.0,2016-03-20 00:00:00+00:00,28.0,339146.35600571
85,12384.0,2016-03-20 00:00:00+00:00,0.0,296522.28581322
86,12528.0,2016-03-21 00:00:00+00:00,0.0,280528.75147664
87,12672.0,2016-03-21 00:00:00+00:00,0.0,267093.93407522
88,12816.0,2016-03-22 00:00:00+00:00,0.0,269870.9131203
89,12960.0,2016-03-22 00:00:00+00:00,0.0,278888.09763945
90,13104.0,2016-03-23 00:00:00+00:00,26.0,329507.05291048
91,13248.0,2016-03-23 00:00:00+00:00,0.0,318668.57372901
92,13392.0,2016-03-24 00:00:00+00:00,0.0,300357.54887423
93,13536.0,2016-03-24 00:00:00+00:00,0.0,287663.59568359
94,13680.0,2016-03-25 00:00:00+00:00,0.0,286112.72101888
95,13824.0,2016-03-25 00:00:00+00:00,0.0,278743.57943925
96,13968.0,2016-03-26 00:00:00+00:00,0.0,299705.43153832
97,14112.0,2016-03-26 00:00:00+00:00,0.0,320478.99535558
98,14256.0,2016-03-27 00:00:00+00:00,0.0,336073.95635022
99,14400.0,2016-03-27 00:00:00+00:00,0.0,344236.07741231
100,14544.0,2016-03-28 00:00:00+00:00,27.0,333951.99043608
101,14688.0,2016-03-28 00:00:00+00:00,0.0,329846.70698045
102,14832.0,2016-03-29 00:00:00+00:00,0.0,326297.94200149
103,14976.0,2016-03-29 00:00:00+00:00,0.0,315338.41048047
104,15120.0,2016-03-30 00:00:00+00:00,0.0,339329.42098927
105,15264.0,2016-03-30 00:00:00+00:00,21.0,355639.08126626
106,15408.0,2016-03-31 00:00:00+00:00,0.0,362307.23420381
107,15552.0,2016-03-31 00:00:00+00:00,0.0,328017.55955583
108,15696.0,2016-04-01 00:00:00+00:00,0.0,326344.42975682
109,15840.0,2016-04-01 00:00:00+00:00,0.0,347429.60940766
110,15984.0,2016-04-02 00:00:00+00:00,26.0,369154.96877864
111,16128.0,2016-04-02 00:00:00+00:00,0.0,372215.38780489
112,16272.0,2016-04-03 00:00:00+00:00,0.0,370941.16955481
113,16416.0,2016-04-03 00:00:00+00:00,0.0,368856.13488624
114,16560.0,2016-04-04 00:00:00+00:00,26.0,359290.90790738
115,16704.0,2016-04-04 00:00:00+00:00,0.0,369771.74956162
116,16848.0,2016-04-05 00:00:00+00:00,0.0,375096.23952233
117,16992.0,2016-04-05 00:00:00+00:00,0.0,355117.70796042
118,17136.0,2016-04-06 00:00:00+00:00,0.0,340695.80062494
119,17280.0,2016-04-06 00:00:00+00:00,37.0,307881.19358215
120,17424.0,2016-04-07 00:00:00+00:00,0.0,326899.91599569
121,17568.0,2016-04-07 00:00:00+00:00,0.0,380225.43568264
122,17712.0,2016-04-08 00:00:00+00:00,0.0,388405.65727588
123,17856.0,2016-04-08 00:00:00+00:00,24.0,381464.40362211
124,18000.0,2016-04-09 00:00:00+00:00,0.0,361494.00155843
125,18144.0,2016-04-09 00:00:00+00:00,0.0,336083.40732399
126,18288.0,2016-04-10 00:00:00+00:00,0.0,341557.63142109
127,18432.0,2016-04-10 00:00:00+00:00,0.0,328997.01090378
128,18576.0,2016-04-11 00:00:00+00:00,35.0,337183.44262381
