date,blk,pow_hashrate_THs
27-02-10 0:00,42945,3.25E-05
02-03-10 0:00,43484,3.68E-05
05-03-10 0:00,43992,3.29E-05
08-03-10 0:00,44473,3.06E-05
11-03-10 0:00,44914,3.29E-05
14-03-10 0:00,45313,2.82E-05
17-03-10 0:00,45710,2.77E-05
20-03-10 0:00,46195,4.35E-05
23-03-10 0:00,46764,4.65E-05
26-03-10 0:00,47319,4.43E-05
29-03-10 0:00,47878,4.36E-05
01-04-10 0:00,48470,5.72E-05
04-04-10 0:00,48958,5.02E-05
07-04-10 0:00,49463,5.84E-05
10-04-10 0:00,50095,7.26E-05
13-04-10 0:00,50710,6.41E-05
16-04-10 0:00,51308,7.85E-05
19-04-10 0:00,52006,8.44E-05
22-04-10 0:00,52589,0.000100871
25-04-10 0:00,53065,9.63E-05
28-04-10 0:00,53589,9.97E-05
01-05-10 0:00,54063,9.29E-05
04-05-10 0:00,54513,8.30E-05
07-05-10 0:00,54931,8.37E-05
10-05-10 0:00,55356,8.75E-05
13-05-10 0:00,55722,8.30E-05
16-05-10 0:00,56049,6.13E-05
19-05-10 0:00,56524,0.000103475
22-05-10 0:00,57098,0.000113065
25-05-10 0:00,57707,0.000126609
28-05-10 0:00,58345,0.000128965
31-05-10 0:00,58820,0.000125573
03-06-10 0:00,59254,0.000129704
06-06-10 0:00,59672,0.000124747
09-06-10 0:00,60157,0.000133834
12-06-10 0:00,60620,0.000118373
15-06-10 0:00,61137,0.000169352
18-06-10 0:00,61575,0.000127878
21-06-10 0:00,62064,0.000139974
24-06-10 0:00,62576,0.00017556
27-06-10 0:00,63063,0.000153374
30-06-10 0:00,63566,0.00017749
03-07-10 0:00,64156,0.000192924
06-07-10 0:00,64670,0.000196267
09-07-10 0:00,65176,0.0002208
12-07-10 0:00,66212,0.000599314
15-07-10 0:00,68106,0.001407832
18-07-10 0:00,68956,0.001615397
21-07-10 0:00,69518,0.001822962
24-07-10 0:00,70077,0.001669545
27-07-10 0:00,70717,0.002124483
30-07-10 0:00,71238,0.002209463
02-08-10 0:00,71922,0.003083536
05-08-10 0:00,72610,0.002962137
08-08-10 0:00,73111,0.003361158
11-08-10 0:00,73725,0.003798808
14-08-10 0:00,74438,0.004569073
17-08-10 0:00,74921,0.003332692
20-08-10 0:00,75382,0.004248547
23-08-10 0:00,75980,0.005520567
26-08-10 0:00,76621,0.005291603
29-08-10 0:00,77124,0.00489622
01-09-10 0:00,77614,0.005454017
04-09-10 0:00,78115,0.005546983
07-09-10 0:00,78598,0.004679299
10-09-10 0:00,79075,0.006059847
13-09-10 0:00,79583,0.005811783
16-09-10 0:00,80174,0.006733163
19-09-10 0:00,80828,0.009581379
22-09-10 0:00,81377,0.007893231
25-09-10 0:00,82046,0.009216374
28-09-10 0:00,82692,0.009855133
01-10-10 0:00,83156,0.010226025
04-10-10 0:00,83531,0.010094922
07-10-10 0:00,83988,0.0113404
10-10-10 0:00,84478,0.011274848
13-10-10 0:00,84968,0.011576864
16-10-10 0:00,85608,0.016372014
19-10-10 0:00,86383,0.016646023
22-10-10 0:00,86987,0.016344753
25-10-10 0:00,87570,0.022433975
28-10-10 0:00,88243,0.022968118
31-10-10 0:00,88897,0.027971776
03-11-10 0:00,89440,0.030891906
06-11-10 0:00,90078,0.031045597
09-11-10 0:00,90811,0.054120808
12-11-10 0:00,91402,0.038561076
15-11-10 0:00,92081,0.049836244
18-11-10 0:00,92782,0.059307385
21-11-10 0:00,93188,0.046082977
24-11-10 0:00,93668,0.063150746
27-11-10 0:00,94223,0.062468035
30-11-10 0:00,94806,0.084329546
03-12-10 0:00,95371,0.077101299
06-12-10 0:00,96080,0.096376623
09-12-10 0:00,96780,0.100392316
12-12-10 0:00,97273,0.105974737
15-12-10 0:00,97781,0.109019988
18-12-10 0:00,98281,0.096229933
21-12-10 0:00,98820,0.119982892
24-12-10 0:00,99270,0.108001742
27-12-10 0:00,99749,0.11592187
30-12-10 0:00,100252,0.115201859
02-01-11 0:00,100770,0.129602091
05-01-11 0:00,101221,0.121596944
08-01-11 0:00,101696,0.155644088
11-01-11 0:00,102193,0.131324699
14-01-11 0:00,102729,0.141052455
17-01-11 0:00,103241,0.158561467
20-01-11 0:00,103737,0.153978766
23-01-11 0:00,104246,0.155811847
26-01-11 0:00,104770,0.178725353
29-01-11 0:00,105249,0.164136212
01-02-11 0:00,105739,0.195869213
04-02-11 0:00,106251,0.207905868
07-02-11 0:00,106810,0.225413731
10-02-11 0:00,107356,0.244256346
13-02-11 0:00,107936,0.263641771
16-02-11 0:00,108589,0.298535534
19-02-11 0:00,109193,0.318987823
22-02-11 0:00,109796,0.384235332
25-02-11 0:00,110471,0.40235964
28-02-11 0:00,111141,0.461482779
03-03-11 0:00,111625,0.505696698
06-03-11 0:00,112397,0.746109882
09-03-11 0:00,112955,0.598433793
12-03-11 0:00,113335,0.518895124
15-03-11 0:00,113676,0.367392898
18-03-11 0:00,114073,0.52268268
21-03-11 0:00,114473,0.587071126
24-03-11 0:00,114901,0.575708459
27-03-11 0:00,115355,0.524622354
30-03-11 0:00,115842,0.534909066
02-04-11 0:00,116399,0.648062907
05-04-11 0:00,116946,0.692638663
08-04-11 0:00,117407,0.638574171
11-04-11 0:00,117899,0.630387322
14-04-11 0:00,118416,0.66722814
